recording_started_at_utc,sample_timestamp_utc,device_name,channel,channel_sample_index,value_uv
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.877Z,Muse-2E72,AF7,322,364.257812
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.877Z,Muse-2E72,AF7,323,-967.773438
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.877Z,Muse-2E72,AF7,324,-1000.000000
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.920Z,Muse-2E72,TP10,325,-80.078125
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.920Z,Muse-2E72,TP10,326,973.632812
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.920Z,Muse-2E72,TP10,327,176.757812
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.920Z,Muse-2E72,TP10,328,-922.363281
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.920Z,Muse-2E72,TP10,329,-340.332031
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.920Z,Muse-2E72,TP10,330,886.718750
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.920Z,Muse-2E72,TP10,331,583.984375
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.920Z,Muse-2E72,TP10,332,-492.187500
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.920Z,Muse-2E72,TP10,333,-646.972656
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.920Z,Muse-2E72,TP10,334,594.726562
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.920Z,Muse-2E72,TP10,335,630.859375
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.920Z,Muse-2E72,TP10,336,-560.058594
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.922Z,Muse-2E72,AF8,325,483.398438
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.922Z,Muse-2E72,AF8,326,525.390625
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.922Z,Muse-2E72,AF8,327,-119.628906
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.922Z,Muse-2E72,AF8,328,-346.191406
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.922Z,Muse-2E72,AF8,329,208.496094
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.922Z,Muse-2E72,AF8,330,681.640625
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.922Z,Muse-2E72,AF8,331,230.957031
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.922Z,Muse-2E72,AF8,332,-365.722656
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.922Z,Muse-2E72,AF8,333,41.015625
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.922Z,Muse-2E72,AF8,334,734.375000
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.922Z,Muse-2E72,AF8,335,220.703125
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.922Z,Muse-2E72,AF8,336,-468.750000
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.922Z,Muse-2E72,TP9,325,-323.730469
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.922Z,Muse-2E72,TP9,326,855.957031
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.922Z,Muse-2E72,TP9,327,646.484375
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.922Z,Muse-2E72,TP9,328,-546.875000
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.922Z,Muse-2E72,TP9,329,-437.011719
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.922Z,Muse-2E72,TP9,330,665.527344
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.922Z,Muse-2E72,TP9,331,761.718750
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.922Z,Muse-2E72,TP9,332,-38.085938
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.922Z,Muse-2E72,TP9,333,-755.859375
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.922Z,Muse-2E72,TP9,334,121.582031
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.922Z,Muse-2E72,TP9,335,822.753906
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.922Z,Muse-2E72,TP9,336,-134.277344
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.922Z,Muse-2E72,AF7,325,197.265625
2026-08-04T19:00:29.591Z,2026-08-04T19:00:30.922Z,Muse-2E72,AF7,326,754.882812
